Year,Brand Name,Generic Name,Manufacturer,Indication,Coverage Type,Total Spending,Beneficiary Count,Unit Count,Beneficiary Cost Share,Total Annual Spending Per User,Average Cost Per Unit,Average Annual Beneficiary Cost Share,Claim Count,Beneficiary Count LIS,Beneficiary Count No LIS,Beneficiary Cost Share LIS,Beneficiary Cost Share No LIS,Average Beneficiary Cost Share LIS,Average Beneficiary Cost Share No LIS
2011,Duloxetine HCl,Duloxetine HCl,Multiple Manufacturers,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2012,Duloxetine HCl,Duloxetine HCl,Multiple Manufacturers,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2013,Duloxetine HCl,Duloxetine HCl,Multiple Manufacturers,,Part D,"$45,703,055.39","167,851","8,104,818","$3,376,036.82",$272.28,$5.64,*,"177,853","98,439","69,412","$117,909.51","$3,258,127.31",$1.20,$46.94
2014,Duloxetine HCl,Duloxetine HCl,Multiple Manufacturers,,Part D,"$1,426,877,758.40","1,161,079","316,724,503","$142,168,816.11","$1,228.92",$4.51,*,"7,047,482","579,615","581,464","$7,510,091.73","$134,658,724.38",$12.96,$231.59
2010,Enbrel,Etanercept,Amgen,Inflammation,Part D,"$490,185,066.98","35,666","1,270,390","$39,981,496.11","$13,743.76",$385.85,*,"257,291","20,434","15,232","$1,199,176.42","$38,782,319.69",$58.69,"$2,546.11"
2011,Enbrel,Etanercept,Amgen,,Part D,"$567,325,003.09","38,814","1,331,765","$29,662,048.67","$14,616.50",$425.99,*,"276,299","21,786","17,028","$1,041,975.27","$28,620,073.40",$47.83,"$1,680.77"
2012,Enbrel,Etanercept,Amgen,,Part D,"$722,314,079.12","42,912","1,495,328","$35,246,702.60","$16,832.45",$483.05,*,"307,825","23,168","19,744","$1,006,277.22","$34,240,425.38",$43.43,"$1,734.22"
2013,Enbrel,Etanercept,Amgen,,Part D,"$977,046,788.56","50,570","1,751,598","$39,062,998.38","$19,320.68",$557.80,*,"354,298","24,623","25,947","$1,100,106.17","$37,962,892.21",$44.68,"$1,463.09"
2014,Enbrel,Etanercept,Amgen,,Part D,"$1,198,397,787.78","53,459","1,849,495","$45,299,112.47","$22,417.14",$647.96,*,"375,300","25,559","27,900","$1,091,806.58","$44,207,305.89",$42.72,"$1,584.49"
2010,Epogen; Procrit,Epoetin alfa,Multiple Manufacturers,Anemia,Part B,"$402,821,635.20","147,018","42,261,500","$83,059,348.62","$2,739.95",$9.53,$564.96,"1,185,446",n/a,n/a,n/a,n/a,n/a,n/a
2011,Epogen; Procrit,Epoetin alfa,Multiple Manufacturers,,Part B,"$339,170,306.51","125,839","34,903,944","$70,040,535.77","$2,695.27",$9.72,$556.59,"991,279",n/a,n/a,n/a,n/a,n/a,n/a
2012,Epogen; Procrit,Epoetin alfa,Multiple Manufacturers,,Part B,"$295,824,811.54","113,768","30,555,848","$60,511,800.77","$2,600.25",$9.68,$531.89,"851,573",n/a,n/a,n/a,n/a,n/a,n/a
2013,Epogen; Procrit,Epoetin alfa,Multiple Manufacturers,,Part B,"$309,656,384.46","105,020","29,321,836","$64,172,156.74","$2,948.55",$10.56,$611.05,"803,998",n/a,n/a,n/a,n/a,n/a,n/a
2014,Epogen; Procrit,Epoetin Alfa,Multiple Manufacturers,,Part B,"$303,550,323.94","95,774","26,951,893","$62,873,741.65","$3,169.44",$11.26,$656.48,"731,690",n/a,n/a,n/a,n/a,n/a,n/a
2010,Erbitux,Cetuximab,BMS Onco/Immun,Chemotherapy,Part B,"$251,886,539.95","10,295","5,114,367","$50,248,774.86","$24,466.88",$49.25,"$4,880.89","89,534",n/a,n/a,n/a,n/a,n/a,n/a
2011,Erbitux,Cetuximab,BMS Onco/Immun,,Part B,"$256,666,630.25","10,266","5,130,013","$51,157,976.08","$25,001.62",$50.03,"$4,983.24","87,466",n/a,n/a,n/a,n/a,n/a,n/a
2012,Erbitux,Cetuximab,BMS Onco/Immun,,Part B,"$268,736,172.15","10,271","5,341,354","$53,575,610.24","$26,164.56",$50.31,"$5,216.20","88,235",n/a,n/a,n/a,n/a,n/a,n/a
2013,Erbitux,Cetuximab,BMS Onco/Immun,,Part B,"$261,116,486.98","9,678","5,071,919","$52,713,813.04","$26,980.42",$51.48,"$5,446.77","81,284",n/a,n/a,n/a,n/a,n/a,n/a
2014,Erbitux,Cetuximab,BMS Onco/Immun,,Part B,"$257,845,777.54","9,474","4,957,519","$52,265,908.32","$27,216.15",$52.01,"$5,516.77","78,911",n/a,n/a,n/a,n/a,n/a,n/a
2010,Eylea,Aflibercept,Regeneron Pharm,Eye Disease,Part B,$0.00,0,0,$0.00,$0.00,$0.00,$0.00,0,n/a,n/a,n/a,n/a,n/a,n/a
2011,Eylea,Aflibercept,Regeneron Pharm,,Part B,$0.00,0,0,$0.00,$0.00,$0.00,$0.00,0,n/a,n/a,n/a,n/a,n/a,n/a
2012,Eylea,Aflibercept,Regeneron Pharm,,Part B,$0.00,0,0,$0.00,$0.00,$0.00,$0.00,0,n/a,n/a,n/a,n/a,n/a,n/a
2013,Eylea,Aflibercept,Regeneron Pharm,,Part B,"$1,079,555,056.08","108,470","1,118,258","$218,162,783.13","$9,952.57",$965.39,"$2,011.27","518,836",n/a,n/a,n/a,n/a,n/a,n/a
2014,Eylea,Aflibercept,Regeneron Pharm,,Part B,"$1,295,189,434.49","132,511","1,345,094","$263,976,678.53","$9,774.20",$962.90,"$1,992.11","625,239",n/a,n/a,n/a,n/a,n/a,n/a
2010,Faslodex,Fulvestrant,Astrazeneca,Breast Cancer,Part B,"$72,740,186.87","12,000","885,786","$14,679,680.19","$6,061.68",$82.12,"$1,223.31","73,131",n/a,n/a,n/a,n/a,n/a,n/a
2011,Faslodex,Fulvestrant,Astrazeneca,,Part B,"$125,729,727.97","13,487","1,497,237","$25,238,715.69","$9,322.29",$83.97,"$1,871.34","85,549",n/a,n/a,n/a,n/a,n/a,n/a
2012,Faslodex,Fulvestrant,Astrazeneca,,Part B,"$152,683,035.66","14,365","1,777,825","$30,651,431.13","$10,628.82",$85.88,"$2,133.76","94,551",n/a,n/a,n/a,n/a,n/a,n/a
2013,Faslodex,Fulvestrant,Astrazeneca,,Part B,"$163,533,764.39","14,420","1,862,045","$33,226,531.14","$11,340.76",$87.82,"$2,304.20","96,427",n/a,n/a,n/a,n/a,n/a,n/a
2014,Faslodex,Fulvestrant,Astrazeneca,,Part B,"$172,864,427.14","14,554","1,938,944","$35,224,736.96","$11,877.45",$89.15,"$2,420.28","99,107",n/a,n/a,n/a,n/a,n/a,n/a
2010,Gammagard Liquid,"Immune Globulin,gamma(IGG)",Baxter Bioscien,Immunology,Part B,"$159,478,595.30","9,531","4,202,432","$31,119,727.67","$16,732.62",$37.95,"$3,265.11","52,889",n/a,n/a,n/a,n/a,n/a,n/a
2011,Gammagard Liquid,"Immune Globulin,gamma(IGG)",Baxter Bioscien,,Part B,"$199,454,367.95","11,158","5,256,665","$39,114,407.38","$17,875.46",$37.94,"$3,505.50","68,165",n/a,n/a,n/a,n/a,n/a,n/a
2012,Gammagard Liquid,"Immune Globulin,gamma(IGG)",Baxter Bioscien,,Part B,"$217,836,222.51","11,745","5,620,711","$42,888,462.01","$18,547.15",$38.76,"$3,651.64","72,892",n/a,n/a,n/a,n/a,n/a,n/a
2013,Gammagard Liquid,"Immune Globulin,gamma(IGG)",Baxter Bioscien,,Part B,"$221,747,163.79","11,286","5,709,821","$44,290,930.20","$19,647.99",$38.84,"$3,924.41","73,150",n/a,n/a,n/a,n/a,n/a,n/a
2014,Gammagard Liquid,"Immune Globulin,gamma(IGG)",Baxter Bioscien,,Part B,"$253,466,882.70","12,135","6,373,808","$50,872,805.96","$20,887.26",$39.77,"$4,192.24","80,988",n/a,n/a,n/a,n/a,n/a,n/a
2010,Gammaked; Gamunex; Gamunex-C,"Immune Glob,gam Caprylate(IGG)",Multiple Manufacturers,Immunology,Part B,"$140,521,598.87","7,745","3,792,558","$27,368,491.80","$18,143.52",$37.05,"$3,533.70","45,350",n/a,n/a,n/a,n/a,n/a,n/a
2011,Gammaked; Gamunex; Gamunex-C,"Immune Glob,gam Caprylate(IGG)",Multiple Manufacturers,,Part B,"$164,763,469.37","7,857","4,414,363","$32,159,816.84","$20,970.28",$37.32,"$4,093.14","52,134",n/a,n/a,n/a,n/a,n/a,n/a
2012,Gammaked; Gamunex; Gamunex-C,"Immune Glob,gam Caprylate(IGG)",Multiple Manufacturers,,Part B,"$198,652,390.87","8,780","5,282,237","$38,946,026.62","$22,625.56",$37.61,"$4,435.77","59,943",n/a,n/a,n/a,n/a,n/a,n/a
2013,Gammaked; Gamunex; Gamunex-C,"Immune Glob,gam Caprylate(IGG)",Multiple Manufacturers,,Part B,"$216,718,743.66","9,303","5,621,417","$42,917,879.17","$23,295.58",$38.55,"$4,613.34","64,554",n/a,n/a,n/a,n/a,n/a,n/a
2014,Gammaked; Gamunex; Gamunex-C,"Immune Glob,gam Caprylate(IGG)",Multiple Manufacturers,,Part B,"$245,937,276.29","9,579","6,246,629","$48,964,621.02","$25,674.63",$39.37,"$5,111.66","69,669",n/a,n/a,n/a,n/a,n/a,n/a
2010,Gleevec,Imatinib Mesylate,Novartis,Chemotherapy,Part D,"$386,517,287.33","10,588","4,167,976","$29,368,190.68","$36,505.22",$92.74,*,"83,196","4,464","6,124","$565,254.04","$28,802,936.64",$126.63,"$4,703.29"
2011,Gleevec,Imatinib Mesylate,Novartis,,Part D,"$483,395,344.12","11,105","4,307,168","$23,840,943.98","$43,529.52",$112.23,*,"88,296","4,557","6,548","$485,268.14","$23,355,675.84",$106.49,"$3,566.84"
2012,Gleevec,Imatinib Mesylate,Novartis,,Part D,"$601,652,852.54","11,769","4,576,921","$27,445,662.60","$51,121.83",$131.45,*,"94,855","4,730","7,039","$492,622.08","$26,953,040.52",$104.15,"$3,829.10"
2013,Gleevec,Imatinib Mesylate,Novartis,,Part D,"$779,575,541.87","13,684","5,243,004","$32,568,722.32","$56,969.86",$148.69,*,"110,658","4,877","8,807","$484,190.16","$32,084,532.16",$99.28,"$3,643.07"
2014,Gleevec,Imatinib Mesylate,Novartis,,Part D,"$995,836,211.55","14,388","5,534,594","$37,726,863.34","$69,212.97",$179.93,*,"118,319","5,022","9,366","$547,253.38","$37,179,609.96",$108.97,"$3,969.64"
2010,Glucagen; Glucagon Emergency Kit,"Glucagon,human Recombinant",Multiple Manufacturers,Diabetes,Part B,"$5,340,319.76","54,028","64,758","$1,091,095.44",$98.84,$82.47,$20.19,"57,386",n/a,n/a,n/a,n/a,n/a,n/a
2011,Glucagen; Glucagon Emergency Kit,"Glucagon,human Recombinant",Multiple Manufacturers,,Part B,"$5,942,182.94","51,256","61,290","$1,207,958.35",$115.93,$96.95,$23.57,"54,449",n/a,n/a,n/a,n/a,n/a,n/a
2012,Glucagen; Glucagon Emergency Kit,"Glucagon,human Recombinant",Multiple Manufacturers,,Part B,"$6,706,840.48","51,676","61,855","$1,364,462.11",$129.79,$108.43,$26.40,"55,075",n/a,n/a,n/a,n/a,n/a,n/a
2013,Glucagen; Glucagon Emergency Kit,"Glucagon,human Recombinant",Multiple Manufacturers,,Part B,"$7,623,514.12","53,482","64,025","$1,569,161.09",$142.54,$119.07,$29.34,"56,802",n/a,n/a,n/a,n/a,n/a,n/a
2014,Glucagen; Glucagon Emergency Kit,"Glucagon,human Recombinant",Multiple Manufacturers,,Part B,"$8,624,803.36","53,168","63,725","$1,787,240.11",$162.22,$135.34,$33.61,"56,496",n/a,n/a,n/a,n/a,n/a,n/a
2010,Harvoni,Ledipasvir/Sofosbuvir,Gilead Sciences,Hepatitis C,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2011,Harvoni,Ledipasvir/Sofosbuvir,Gilead Sciences,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2012,Harvoni,Ledipasvir/Sofosbuvir,Gilead Sciences,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2013,Harvoni,Ledipasvir/Sofosbuvir,Gilead Sciences,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2014,Harvoni,Ledipasvir/Sofosbuvir,Gilead Sciences,,Part D,"$699,892,572.27","11,718","612,518","$16,288,447.13","$59,727.99","$1,142.65",*,"21,799","7,619","4,099","$217,217.26","$16,071,229.87",$28.51,"$3,920.77"
2010,Herceptin,Trastuzumab,"Genentech, Inc.",Chemotherapy,Part B,"$359,060,824.67","13,984","5,435,478","$71,471,880.91","$25,676.55",$66.06,"$5,110.98","160,174",n/a,n/a,n/a,n/a,n/a,n/a
2011,Herceptin,Trastuzumab,"Genentech, Inc.",,Part B,"$402,138,805.05","14,887","5,736,500","$79,918,442.64","$27,012.75",$70.10,"$5,368.34","163,332",n/a,n/a,n/a,n/a,n/a,n/a
2012,Herceptin,Trastuzumab,"Genentech, Inc.",,Part B,"$466,831,023.84","16,227","6,324,518","$92,775,618.71","$28,768.78",$73.81,"$5,717.36","171,609",n/a,n/a,n/a,n/a,n/a,n/a
2013,Herceptin,Trastuzumab,"Genentech, Inc.",,Part B,"$502,675,587.74","17,225","6,518,452","$100,037,472.29","$29,182.91",$77.12,"$5,807.69","169,207",n/a,n/a,n/a,n/a,n/a,n/a
2014,Herceptin,Trastuzumab,"Genentech, Inc.",,Part B,"$560,661,666.26","18,476","6,994,748","$110,327,234.34","$30,345.40",$80.15,"$5,971.38","175,613",n/a,n/a,n/a,n/a,n/a,n/a
2010,Hizentra,"Immune Globulin,gamma(IGG)",CSL Behring Llc,Immunology,Part B,$0.00,0,0,$0.00,$0.00,$0.00,$0.00,0,n/a,n/a,n/a,n/a,n/a,n/a
2011,Hizentra,"Immune Globulin,gamma(IGG)",CSL Behring Llc,,Part B,"$101,337,825.40","2,208","7,069,045","$20,274,753.45","$45,895.75",$14.34,"$9,182.41","22,682",n/a,n/a,n/a,n/a,n/a,n/a
2012,Hizentra,"Immune Globulin,gamma(IGG)",CSL Behring Llc,,Part B,"$132,200,696.89","2,516","9,239,033","$26,466,491.10","$52,544.00",$14.31,"$10,519.27","28,026",n/a,n/a,n/a,n/a,n/a,n/a
2013,Hizentra,"Immune Globulin,gamma(IGG)",CSL Behring Llc,,Part B,"$141,381,753.10","2,725","9,978,465","$28,642,649.53","$51,883.21",$14.17,"$10,511.06","29,622",n/a,n/a,n/a,n/a,n/a,n/a
2014,Hizentra,"Immune Globulin,gamma(IGG)",CSL Behring Llc,,Part B,"$162,035,365.66","2,964","11,483,983","$32,961,851.25","$54,667.80",$14.11,"$11,120.73","32,058",n/a,n/a,n/a,n/a,n/a,n/a
2010,Humira,Adalimumab,Abbvie Us LLC,Inflammation,Part D,"$405,044,145.14","29,188","493,552","$24,464,242.66","$13,877.08",$820.67,*,"200,461","19,412","9,776","$956,775.77","$23,507,466.89",$49.29,"$2,404.61"
2011,Humira,Adalimumab,Abbvie Us LLC,,Part D,"$513,090,759.27","33,324","568,641","$19,309,749.36","$15,397.03",$902.31,*,"233,004","21,979","11,345","$834,493.66","$18,475,255.70",$37.97,"$1,628.49"
2012,Humira,Adalimumab,Abbvie Us LLC,,Part D,"$674,609,130.28","37,855","663,156","$24,150,164.50","$17,820.87","$1,017.27",*,"267,139","24,114","13,741","$889,731.54","$23,260,432.96",$36.90,"$1,692.78"
2013,Humira,Adalimumab,Abbvie Us LLC,,Part D,"$955,331,810.70","46,448","828,674","$29,456,455.44","$20,567.77","$1,152.84",*,"325,242","26,628","19,820","$957,280.79","$28,499,174.65",$35.95,"$1,437.90"
2014,Humira,Adalimumab,Abbvie Us LLC,,Part D,"$1,239,853,884.21","51,557","931,166","$34,774,570.43","$24,048.22","$1,331.51",*,"362,301","28,988","22,569","$921,518.06","$33,853,052.37",$31.79,"$1,499.98"
2010,Invega Sustenna,Paliperidone Palmitate,"Janssen Pharmaceuticals, Inc.",Mental Health,Part D,"$83,357,872.84","13,055","82,148","$584,468.28","$6,385.13","$1,014.73",*,"75,905","12,704",351,"$209,884.70","$374,583.58",$16.52,"$1,067.19"
2011,Invega Sustenna,Paliperidone Palmitate,"Janssen Pharmaceuticals, Inc.",,Part D,"$186,221,395.73","21,941","171,947","$933,120.07","$8,487.37","$1,083.01",*,"155,347","21,315",626,"$399,288.39","$533,831.68",$18.73,$852.77
2012,Invega Sustenna,Paliperidone Palmitate,"Janssen Pharmaceuticals, Inc.",,Part D,"$300,278,140.68","29,890","261,887","$1,499,488.40","$10,046.11","$1,146.60",*,"229,598","29,018",872,"$601,906.78","$897,581.62",$20.74,"$1,029.34"
2013,Invega Sustenna,Paliperidone Palmitate,"Janssen Pharmaceuticals, Inc.",,Part D,"$424,315,673.55","38,061","351,939","$2,257,005.18","$11,148.31","$1,205.65",*,"303,093","36,750","1,311","$851,938.27","$1,405,066.91",$23.18,"$1,071.75"
2014,Invega Sustenna,Paliperidone Palmitate,"Janssen Pharmaceuticals, Inc.",,Part D,"$540,403,968.98","43,399","424,436","$2,519,703.54","$12,451.99","$1,273.23",*,"360,049","41,983","1,416","$952,605.76","$1,567,097.78",$22.69,"$1,106.71"
2010,Isentress,Raltegravir Potassium,Merck Sharp & D,HIV,Part D,"$187,994,425.13","24,977","11,857,166","$4,818,071.52","$7,526.70",$15.85,*,"193,186","21,145","3,832","$463,611.23","$4,354,460.29",$21.93,"$1,136.34"
2011,Isentress,Raltegravir Potassium,Merck Sharp & D,,Part D,"$254,121,822.76","30,560","15,379,354","$4,546,549.20","$8,315.50",$16.52,*,"248,995","25,464","5,096","$562,256.31","$3,984,292.89",$22.08,$781.85
2012,Isentress,Raltegravir Potassium,Merck Sharp & D,,Part D,"$322,607,271.67","35,455","18,482,369","$4,434,365.91","$9,099.06",$17.45,*,"297,420","29,063","6,392","$504,717.06","$3,929,648.85",$17.37,$614.78
2013,Isentress,Raltegravir Potassium,Merck Sharp & D,,Part D,"$377,797,182.79","39,132","20,754,930","$5,192,292.93","$9,654.43",$18.20,*,"338,249","31,354","7,778","$556,653.21","$4,635,639.72",$17.75,$595.99
2014,Isentress,Raltegravir Potassium,Merck Sharp & D,,Part D,"$402,900,253.82","39,533","21,097,312","$5,674,384.60","$10,191.49",$19.10,*,"339,586","31,145","8,388","$586,099.18","$5,088,285.42",$18.82,$606.61
2010,Januvia,Sitagliptin Phosphate,Merck Sharp & D,Diabetes,Part D,"$560,980,681.51","423,549","88,852,585","$81,288,223.52","$1,324.48",$6.31,*,"2,372,421","221,324","202,225","$6,059,593.64","$75,228,629.88",$27.38,$372.00
2011,Januvia,Sitagliptin Phosphate,Merck Sharp & D,,Part D,"$790,656,169.19","540,196","115,570,404","$85,468,249.36","$1,463.65",$6.84,*,"2,968,889","278,387","261,809","$7,165,524.92","$78,302,724.44",$25.74,$299.08
2012,Januvia,Sitagliptin Phosphate,Merck Sharp & D,,Part D,"$1,113,009,200.05","666,578","149,650,138","$116,869,974.56","$1,669.74",$7.44,*,"3,766,164","334,315","332,263","$8,431,666.72","$108,438,307.84",$25.22,$326.36
2013,Januvia,Sitagliptin Phosphate,Merck Sharp & D,,Part D,"$1,460,522,983.89","761,776","174,157,217","$139,453,509.09","$1,917.26",$8.39,*,"4,358,783","357,736","404,040","$9,071,990.53","$130,381,518.56",$25.36,$322.69
2014,Januvia,Sitagliptin Phosphate,Merck Sharp & D,,Part D,"$1,775,295,532.62","789,934","183,579,143","$156,513,130.02","$2,247.40",$9.67,*,"4,496,501","369,719","420,215","$8,826,674.88","$147,686,455.14",$23.87,$351.45
2010,Lantus,"Insulin Glargine,Hum.Rec.Anlog",Sanofi-Aventis,Diabetes,Part D,"$843,173,810.48","875,642","86,152,105","$125,137,812.77",$962.92,$9.79,*,"5,050,035","529,473","346,169","$11,479,562.56","$113,658,250.21",$21.68,$328.33
2011,Lantus,"Insulin Glargine,Hum.Rec.Anlog",Sanofi-Aventis,,Part D,"$918,040,251.73","877,114","88,218,854","$106,432,265.87","$1,046.66",$10.41,*,"5,031,809","528,775","348,339","$11,213,907.44","$95,218,358.43",$21.21,$273.35
2012,Lantus,"Insulin Glargine,Hum.Rec.Anlog",Sanofi-Aventis,,Part D,"$1,092,176,448.85","856,785","86,897,580","$117,838,377.09","$1,274.74",$12.57,*,"4,842,282","508,236","348,549","$10,179,480.35","$107,658,896.74",$20.03,$308.88
2013,Lantus,"Insulin Glargine,Hum.Rec.Anlog",Sanofi-Aventis,,Part D,"$1,311,093,861.36","838,393","85,659,232","$129,101,707.49","$1,563.82",$15.31,*,"4,601,857","467,439","370,954","$9,882,655.89","$119,219,051.60",$21.14,$321.39
2014,Lantus,"Insulin Glargine,Hum.Rec.Anlog",Sanofi-Aventis,,Part D,"$1,725,595,628.80","787,204","80,207,645","$144,306,997.22","$2,192.06",$21.51,*,"4,284,694","431,979","355,225","$9,571,669.75","$134,735,327.47",$22.16,$379.30
2010,Lantus Solostar,"Insulin Glargine,Hum.Rec.Anlog",Sanofi-Aventis,Diabetes,Part D,"$334,675,472.54","336,948","27,178,215","$52,719,731.24",$993.26,$12.31,*,"1,390,670","176,363","160,585","$3,723,698.58","$48,996,032.66",$21.11,$305.11
2011,Lantus Solostar,"Insulin Glargine,Hum.Rec.Anlog",Sanofi-Aventis,,Part D,"$548,984,016.33","490,571","41,979,050","$67,155,830.50","$1,119.07",$13.08,*,"2,105,932","256,413","234,158","$5,461,792.73","$61,694,037.77",$21.30,$263.47
2012,Lantus Solostar,"Insulin Glargine,Hum.Rec.Anlog",Sanofi-Aventis,,Part D,"$852,975,055.40","659,175","58,928,450","$103,436,434.00","$1,294.00",$14.47,*,"2,931,350","336,062","323,113","$7,039,447.44","$96,396,986.56",$20.95,$298.34
2013,Lantus Solostar,"Insulin Glargine,Hum.Rec.Anlog",Sanofi-Aventis,,Part D,"$1,371,996,460.66","862,887","80,268,076","$153,686,946.90","$1,590.01",$17.09,*,"3,863,847","401,389","461,498","$9,129,307.59","$144,557,639.31",$22.74,$313.24
2014,Lantus Solostar,"Insulin Glargine,Hum.Rec.Anlog",Sanofi-Aventis,,Part D,"$2,016,972,756.51","973,018","92,786,715","$204,953,012.76","$2,072.90",$21.74,*,"4,442,309","447,359","525,659","$10,722,288.98","$194,230,723.78",$23.97,$369.50
2010,Letairis,Ambrisentan,"Gilead Sciences, Inc.",Cardiovascular,Part D,"$121,247,604.61","2,827","644,039","$8,232,660.86","$42,889.14",$188.26,*,"21,451","1,254","1,573","$178,547.15","$8,054,113.71",$142.38,"$5,120.22"
2011,Letairis,Ambrisentan,"Gilead Sciences, Inc.",,Part D,"$166,507,915.48","3,782","851,168","$7,662,183.71","$44,026.42",$195.62,*,"28,332","1,677","2,105","$235,848.34","$7,426,335.37",$140.64,"$3,527.95"
2012,Letairis,Ambrisentan,"Gilead Sciences, Inc.",,Part D,"$237,108,817.08","4,789","1,136,171","$10,509,084.37","$49,511.13",$208.69,*,"37,663","2,126","2,663","$274,500.77","$10,234,583.60",$129.12,"$3,843.25"
2013,Letairis,Ambrisentan,"Gilead Sciences, Inc.",,Part D,"$330,257,596.82","6,040","1,486,233","$13,561,585.61","$54,678.41",$222.21,*,"49,128","2,490","3,550","$300,853.99","$13,260,731.62",$120.82,"$3,735.42"
2014,Letairis,Ambrisentan,"Gilead Sciences, Inc.",,Part D,"$396,586,842.88","6,566","1,674,225","$14,961,141.47","$60,400.07",$236.88,*,"55,082","2,762","3,804","$325,329.19","$14,635,812.28",$117.79,"$3,847.48"
2010,Levulan,Aminolevulinic Acid HCl,Dusa Pharm,Dermatologic,Part B,"$11,721,096.75","50,036","87,880","$2,600,956.07",$234.25,$133.38,$51.98,"75,921",n/a,n/a,n/a,n/a,n/a,n/a
2011,Levulan,Aminolevulinic Acid HCl,Dusa Pharm,,Part B,"$15,134,986.02","60,167","104,415","$3,359,308.59",$251.55,$144.95,$55.83,"90,967",n/a,n/a,n/a,n/a,n/a,n/a
2012,Levulan,Aminolevulinic Acid HCl,Dusa Pharm,,Part B,"$19,403,352.76","72,617","125,185","$4,170,248.70",$267.20,$155.00,$57.43,"109,308",n/a,n/a,n/a,n/a,n/a,n/a
2013,Levulan,Aminolevulinic Acid HCl,Dusa Pharm,,Part B,"$22,957,503.71","81,206","140,423","$5,009,602.97",$282.71,$163.49,$61.69,"121,579",n/a,n/a,n/a,n/a,n/a,n/a
2014,Levulan,Aminolevulinic Acid HCl,Dusa Pharm,,Part B,"$35,284,381.51","85,955","150,342","$7,625,866.94",$410.50,$234.69,$88.72,"130,447",n/a,n/a,n/a,n/a,n/a,n/a
2010,Lucentis,Ranibizumab,"Genentech, Inc.",Eye Disease,Part B,"$1,173,443,419.09","115,053","2,912,883","$235,459,793.00","$10,199.16",$402.85,"$2,046.53","559,012",n/a,n/a,n/a,n/a,n/a,n/a
2011,Lucentis,Ranibizumab,"Genentech, Inc.",,Part B,"$1,427,995,770.36","132,433","3,531,795","$286,537,261.47","$10,782.78",$404.33,"$2,163.64","671,869",n/a,n/a,n/a,n/a,n/a,n/a
2012,Lucentis,Ranibizumab,"Genentech, Inc.",,Part B,"$1,268,139,093.42","135,259","3,175,185","$254,337,602.52","$9,375.64",$399.39,"$1,880.37","605,711",n/a,n/a,n/a,n/a,n/a,n/a
2013,Lucentis,Ranibizumab,"Genentech, Inc.",,Part B,"$1,352,411,992.67","143,516","3,445,948","$274,633,508.45","$9,423.42",$392.46,"$1,913.61","678,511",n/a,n/a,n/a,n/a,n/a,n/a
2014,Lucentis,Ranibizumab,"Genentech, Inc.",,Part B,"$1,331,252,582.94","141,606","3,412,380","$271,419,525.61","$9,401.10",$390.12,"$1,916.72","674,456",n/a,n/a,n/a,n/a,n/a,n/a
2010,Lyrica,Pregabalin,Pfizer US Pharm,Seizures,Part D,"$515,822,889.34","563,352","213,391,665","$74,257,938.83",$915.63,$2.42,*,"3,022,661","347,048","216,304","$8,019,369.92","$66,238,568.91",$23.11,$306.23
2011,Lyrica,Pregabalin,Pfizer US Pharm,,Part D,"$627,132,583.61","592,992","234,318,966","$69,448,366.60","$1,057.57",$2.68,*,"3,246,115","362,748","230,244","$8,550,571.97","$60,897,794.63",$23.57,$264.49
2012,Lyrica,Pregabalin,Pfizer US Pharm,,Part D,"$767,435,441.86","615,951","253,199,771","$81,941,363.88","$1,245.94",$3.03,*,"3,440,466","366,722","249,229","$8,402,318.27","$73,539,045.61",$22.91,$295.07
2013,Lyrica,Pregabalin,Pfizer US Pharm,,Part D,"$1,073,704,899.18","738,891","300,655,095","$104,986,219.11","$1,453.13",$3.57,*,"4,111,085","410,137","328,754","$9,548,145.90","$95,438,073.21",$23.28,$290.30
2014,Lyrica,Pregabalin,Pfizer US Pharm,,Part D,"$1,404,488,159.74","791,187","327,999,529","$122,982,180.38","$1,775.17",$4.28,*,"4,487,076","440,557","350,630","$9,957,977.14","$113,024,203.24",$22.60,$322.35
2010,Namenda,Memantine HCl,Actavis U.S. BR,Alzheimers,Part D,"$927,489,676.85","724,125","307,593,455","$182,932,088.04","$1,280.84",$3.02,*,"5,127,682","374,283","349,842","$9,765,925.54","$173,166,162.50",$26.09,$494.98
2011,Namenda,Memantine HCl,Actavis U.S. BR,,Part D,"$1,095,522,571.07","742,257","326,482,030","$148,891,580.87","$1,475.93",$3.36,*,"5,316,132","377,668","364,589","$9,226,108.22","$139,665,472.65",$24.43,$383.08
